"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 18 12:45:45 GMT 2022","Sun Sep 18 12:45:49 GMT 2022","3613","","Telnyx tests","","","","Testing the ""Video API"" button in Powerful products box",""
"passed","Sun Sep 18 12:46:54 GMT 2022","Sun Sep 18 12:46:58 GMT 2022","3807","","Telnyx tests","","","","Testing the ""Call Control - Voice API"" button in footer",""
"passed","Sun Sep 18 12:45:04 GMT 2022","Sun Sep 18 12:45:32 GMT 2022","27404","","Telnyx tests","","","","Testing the ""JOIN THE WAITLIST"" button",""
"passed","Sun Sep 18 12:46:42 GMT 2022","Sun Sep 18 12:46:47 GMT 2022","5157","","Telnyx tests","","","","Testing the ""Release Notes"" button in footer",""
"passed","Sun Sep 18 12:46:16 GMT 2022","Sun Sep 18 12:46:21 GMT 2022","5247","","Telnyx tests","","","","Testing the ""Explore our products"" button",""
"passed","Sun Sep 18 12:46:04 GMT 2022","Sun Sep 18 12:46:09 GMT 2022","4698","","Telnyx tests","","","","Testing the ""Elastic SIP Trunking"" button in Powerful products box",""
"passed","Sun Sep 18 12:46:22 GMT 2022","Sun Sep 18 12:46:28 GMT 2022","5157","","Telnyx tests","","","","Testing the ""Data & Privacy"" button in footer",""
"passed","Sun Sep 18 12:45:57 GMT 2022","Sun Sep 18 12:46:03 GMT 2022","5548","","Telnyx tests","","","","Testing the ""Voice API"" button in Powerful products box",""
"passed","Sun Sep 18 12:45:38 GMT 2022","Sun Sep 18 12:45:44 GMT 2022","5967","","Telnyx tests","","","","Testing the ""Messaging API"" button in Powerful products box",""
"passed","Sun Sep 18 12:46:29 GMT 2022","Sun Sep 18 12:46:35 GMT 2022","6151","","Telnyx tests","","","","Testing the ""Blog"" button in footer",""
"passed","Sun Sep 18 12:45:32 GMT 2022","Sun Sep 18 12:45:37 GMT 2022","5379","","Telnyx tests","","","","Testing the ""Read customer story"" button",""
"passed","Sun Sep 18 12:46:36 GMT 2022","Sun Sep 18 12:46:41 GMT 2022","4429","","Telnyx tests","","","","Testing the ""Resource Hub"" button in footer",""
"passed","Sun Sep 18 12:46:10 GMT 2022","Sun Sep 18 12:46:15 GMT 2022","4923","","Telnyx tests","","","","Testing the ""Storage"" button in Powerful products box",""
"passed","Sun Sep 18 12:45:51 GMT 2022","Sun Sep 18 12:45:56 GMT 2022","5151","","Telnyx tests","","","","Testing the ""Wireless"" button in Powerful products box",""
"passed","Sun Sep 18 12:44:54 GMT 2022","Sun Sep 18 12:45:04 GMT 2022","10108","","Telnyx tests","","","","First open",""
"passed","Sun Sep 18 12:46:48 GMT 2022","Sun Sep 18 12:46:53 GMT 2022","4538","","Telnyx tests","","","","Testing the ""Elastic SIP Trunking"" button in footer",""
