"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 19 07:00:17 GMT 2022","Wed Oct 19 07:00:21 GMT 2022","3906","","Telnyx tests","","","","Testing the ""Blog"" button in footer",""
"passed","Wed Oct 19 06:59:42 GMT 2022","Wed Oct 19 06:59:45 GMT 2022","3773","","Telnyx tests","","","","Testing the ""Voice API"" button in Powerful products box",""
"passed","Wed Oct 19 06:59:23 GMT 2022","Wed Oct 19 06:59:27 GMT 2022","4169","","Telnyx tests","","","","Testing the ""Read customer story"" button",""
"passed","Wed Oct 19 06:59:27 GMT 2022","Wed Oct 19 06:59:32 GMT 2022","4396","","Telnyx tests","","","","Testing the ""Messaging API"" button in Powerful products box",""
"passed","Wed Oct 19 06:59:46 GMT 2022","Wed Oct 19 06:59:49 GMT 2022","2569","","Telnyx tests","","","","Testing the ""Elastic SIP Trunking"" button in Powerful products box",""
"passed","Wed Oct 19 07:00:06 GMT 2022","Wed Oct 19 07:00:11 GMT 2022","4441","","Telnyx tests","","","","Testing the ""Explore our products"" button",""
"passed","Wed Oct 19 06:59:32 GMT 2022","Wed Oct 19 06:59:36 GMT 2022","3769","","Telnyx tests","","","","Testing the ""Video API"" button in Powerful products box",""
"failed","Wed Oct 19 06:59:05 GMT 2022","Wed Oct 19 06:59:23 GMT 2022","17291","","Telnyx tests","","","","Testing the ""JOIN THE WAITLIST"" button",""
"passed","Wed Oct 19 07:00:30 GMT 2022","Wed Oct 19 07:00:33 GMT 2022","2949","","Telnyx tests","","","","Testing the ""Elastic SIP Trunking"" button in footer",""
"passed","Wed Oct 19 07:00:25 GMT 2022","Wed Oct 19 07:00:29 GMT 2022","3601","","Telnyx tests","","","","Testing the ""Release Notes"" button in footer",""
"passed","Wed Oct 19 07:00:12 GMT 2022","Wed Oct 19 07:00:17 GMT 2022","4498","","Telnyx tests","","","","Testing the ""Data & Privacy"" button in footer",""
"passed","Wed Oct 19 06:58:48 GMT 2022","Wed Oct 19 06:59:05 GMT 2022","17175","","Telnyx tests","","","","First open",""
"passed","Wed Oct 19 07:00:22 GMT 2022","Wed Oct 19 07:00:25 GMT 2022","3182","","Telnyx tests","","","","Testing the ""Resource Hub"" button in footer",""
"passed","Wed Oct 19 07:00:34 GMT 2022","Wed Oct 19 07:00:37 GMT 2022","3272","","Telnyx tests","","","","Testing the ""Call Control - Voice API"" button in footer",""
"failed","Wed Oct 19 06:59:49 GMT 2022","Wed Oct 19 07:00:06 GMT 2022","17037","","Telnyx tests","","","","Testing the ""Storage"" button in Powerful products box",""
"passed","Wed Oct 19 06:59:37 GMT 2022","Wed Oct 19 06:59:41 GMT 2022","4313","","Telnyx tests","","","","Testing the ""Wireless"" button in Powerful products box",""
