"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 18 13:05:12 GMT 2022","Sun Sep 18 13:05:26 GMT 2022","14519","","Telnyx tests","","","","First open",""
"passed","Sun Sep 18 13:06:23 GMT 2022","Sun Sep 18 13:06:28 GMT 2022","4525","","Telnyx tests","","","","Testing the ""Blog"" button in footer",""
"passed","Sun Sep 18 13:05:46 GMT 2022","Sun Sep 18 13:05:51 GMT 2022","4731","","Telnyx tests","","","","Testing the ""Messaging API"" button in Powerful products box",""
"passed","Sun Sep 18 13:05:56 GMT 2022","Sun Sep 18 13:06:00 GMT 2022","3569","","Telnyx tests","","","","Testing the ""Wireless"" button in Powerful products box",""
"passed","Sun Sep 18 13:06:10 GMT 2022","Sun Sep 18 13:06:12 GMT 2022","2910","","Telnyx tests","","","","Testing the ""Storage"" button in Powerful products box",""
"passed","Sun Sep 18 13:05:26 GMT 2022","Sun Sep 18 13:05:41 GMT 2022","15183","","Telnyx tests","","","","Testing the ""JOIN THE WAITLIST"" button",""
"passed","Sun Sep 18 13:06:01 GMT 2022","Sun Sep 18 13:06:05 GMT 2022","4181","","Telnyx tests","","","","Testing the ""Voice API"" button in Powerful products box",""
"passed","Sun Sep 18 13:06:13 GMT 2022","Sun Sep 18 13:06:17 GMT 2022","4125","","Telnyx tests","","","","Testing the ""Explore our products"" button",""
"passed","Sun Sep 18 13:06:29 GMT 2022","Sun Sep 18 13:06:32 GMT 2022","3279","","Telnyx tests","","","","Testing the ""Resource Hub"" button in footer",""
"passed","Sun Sep 18 13:06:37 GMT 2022","Sun Sep 18 13:06:42 GMT 2022","4360","","Telnyx tests","","","","Testing the ""Elastic SIP Trunking"" button in footer",""
"passed","Sun Sep 18 13:05:42 GMT 2022","Sun Sep 18 13:05:45 GMT 2022","3557","","Telnyx tests","","","","Testing the ""Read customer story"" button",""
"passed","Sun Sep 18 13:06:43 GMT 2022","Sun Sep 18 13:06:46 GMT 2022","3086","","Telnyx tests","","","","Testing the ""Call Control - Voice API"" button in footer",""
"passed","Sun Sep 18 13:06:19 GMT 2022","Sun Sep 18 13:06:23 GMT 2022","3796","","Telnyx tests","","","","Testing the ""Data & Privacy"" button in footer",""
"passed","Sun Sep 18 13:06:33 GMT 2022","Sun Sep 18 13:06:36 GMT 2022","3314","","Telnyx tests","","","","Testing the ""Release Notes"" button in footer",""
"passed","Sun Sep 18 13:06:06 GMT 2022","Sun Sep 18 13:06:09 GMT 2022","2647","","Telnyx tests","","","","Testing the ""Elastic SIP Trunking"" button in Powerful products box",""
"passed","Sun Sep 18 13:05:52 GMT 2022","Sun Sep 18 13:05:55 GMT 2022","3786","","Telnyx tests","","","","Testing the ""Video API"" button in Powerful products box",""
