"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 18 13:02:07 GMT 2022","Sun Sep 18 13:02:10 GMT 2022","3539","","Telnyx tests","","","","Testing the ""Explore our products"" button",""
"passed","Sun Sep 18 13:01:39 GMT 2022","Sun Sep 18 13:01:44 GMT 2022","4872","","Telnyx tests","","","","Testing the ""Messaging API"" button in Powerful products box",""
"passed","Sun Sep 18 13:01:13 GMT 2022","Sun Sep 18 13:01:27 GMT 2022","13775","","Telnyx tests","","","","First open",""
"passed","Sun Sep 18 13:01:27 GMT 2022","Sun Sep 18 13:01:34 GMT 2022","7060","","Telnyx tests","","","","Testing the ""JOIN THE WAITLIST"" button",""
"passed","Sun Sep 18 13:01:45 GMT 2022","Sun Sep 18 13:01:49 GMT 2022","3973","","Telnyx tests","","","","Testing the ""Video API"" button in Powerful products box",""
"passed","Sun Sep 18 13:02:11 GMT 2022","Sun Sep 18 13:02:16 GMT 2022","4273","","Telnyx tests","","","","Testing the ""Data & Privacy"" button in footer",""
"passed","Sun Sep 18 13:02:34 GMT 2022","Sun Sep 18 13:02:37 GMT 2022","2861","","Telnyx tests","","","","Testing the ""Call Control - Voice API"" button in footer",""
"passed","Sun Sep 18 13:02:17 GMT 2022","Sun Sep 18 13:02:21 GMT 2022","4093","","Telnyx tests","","","","Testing the ""Blog"" button in footer",""
"passed","Sun Sep 18 13:01:54 GMT 2022","Sun Sep 18 13:01:58 GMT 2022","3538","","Telnyx tests","","","","Testing the ""Voice API"" button in Powerful products box",""
"passed","Sun Sep 18 13:02:25 GMT 2022","Sun Sep 18 13:02:29 GMT 2022","4106","","Telnyx tests","","","","Testing the ""Release Notes"" button in footer",""
"passed","Sun Sep 18 13:01:58 GMT 2022","Sun Sep 18 13:02:02 GMT 2022","3474","","Telnyx tests","","","","Testing the ""Elastic SIP Trunking"" button in Powerful products box",""
"passed","Sun Sep 18 13:02:21 GMT 2022","Sun Sep 18 13:02:24 GMT 2022","2817","","Telnyx tests","","","","Testing the ""Resource Hub"" button in footer",""
"passed","Sun Sep 18 13:01:50 GMT 2022","Sun Sep 18 13:01:53 GMT 2022","2931","","Telnyx tests","","","","Testing the ""Wireless"" button in Powerful products box",""
"passed","Sun Sep 18 13:01:35 GMT 2022","Sun Sep 18 13:01:39 GMT 2022","3772","","Telnyx tests","","","","Testing the ""Read customer story"" button",""
"passed","Sun Sep 18 13:02:30 GMT 2022","Sun Sep 18 13:02:33 GMT 2022","2944","","Telnyx tests","","","","Testing the ""Elastic SIP Trunking"" button in footer",""
"passed","Sun Sep 18 13:02:03 GMT 2022","Sun Sep 18 13:02:06 GMT 2022","3198","","Telnyx tests","","","","Testing the ""Storage"" button in Powerful products box",""
