"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 19 06:59:17 GMT 2022","Wed Oct 19 06:59:20 GMT 2022","3145","","Telnyx tests","","","","Testing the ""Release Notes"" button in footer",""
"failed","Wed Oct 19 06:57:59 GMT 2022","Wed Oct 19 06:58:16 GMT 2022","17514","","Telnyx tests","","","","Testing the ""JOIN THE WAITLIST"" button",""
"failed","Wed Oct 19 06:58:43 GMT 2022","Wed Oct 19 06:59:01 GMT 2022","17981","","Telnyx tests","","","","Testing the ""Storage"" button in Powerful products box",""
"passed","Wed Oct 19 06:58:17 GMT 2022","Wed Oct 19 06:58:20 GMT 2022","3762","","Telnyx tests","","","","Testing the ""Read customer story"" button",""
"passed","Wed Oct 19 06:59:05 GMT 2022","Wed Oct 19 06:59:09 GMT 2022","3857","","Telnyx tests","","","","Testing the ""Data & Privacy"" button in footer",""
"passed","Wed Oct 19 06:59:01 GMT 2022","Wed Oct 19 06:59:04 GMT 2022","3186","","Telnyx tests","","","","Testing the ""Explore our products"" button",""
"passed","Wed Oct 19 06:59:09 GMT 2022","Wed Oct 19 06:59:13 GMT 2022","3737","","Telnyx tests","","","","Testing the ""Blog"" button in footer",""
"passed","Wed Oct 19 06:59:21 GMT 2022","Wed Oct 19 06:59:25 GMT 2022","3689","","Telnyx tests","","","","Testing the ""Elastic SIP Trunking"" button in footer",""
"passed","Wed Oct 19 06:59:25 GMT 2022","Wed Oct 19 06:59:29 GMT 2022","3651","","Telnyx tests","","","","Testing the ""Call Control - Voice API"" button in footer",""
"passed","Wed Oct 19 06:58:36 GMT 2022","Wed Oct 19 06:58:40 GMT 2022","3680","","Telnyx tests","","","","Testing the ""Voice API"" button in Powerful products box",""
"passed","Wed Oct 19 06:58:41 GMT 2022","Wed Oct 19 06:58:43 GMT 2022","1783","","Telnyx tests","","","","Testing the ""Elastic SIP Trunking"" button in Powerful products box",""
"passed","Wed Oct 19 06:58:27 GMT 2022","Wed Oct 19 06:58:32 GMT 2022","4274","","Telnyx tests","","","","Testing the ""Video API"" button in Powerful products box",""
"passed","Wed Oct 19 06:57:48 GMT 2022","Wed Oct 19 06:57:59 GMT 2022","10788","","Telnyx tests","","","","First open",""
"passed","Wed Oct 19 06:59:14 GMT 2022","Wed Oct 19 06:59:17 GMT 2022","2995","","Telnyx tests","","","","Testing the ""Resource Hub"" button in footer",""
"passed","Wed Oct 19 06:58:21 GMT 2022","Wed Oct 19 06:58:27 GMT 2022","5632","","Telnyx tests","","","","Testing the ""Messaging API"" button in Powerful products box",""
"passed","Wed Oct 19 06:58:32 GMT 2022","Wed Oct 19 06:58:35 GMT 2022","3224","","Telnyx tests","","","","Testing the ""Wireless"" button in Powerful products box",""
